place_id,名稱,地址,評分,評論數,經度,緯度,行政區
ChIJfwKr25cEbjQRWQy1uEP1EtM,御書房生活藝術空間,802台灣高雄市苓雅區林泉街8巷30號,4.2,771,120.3196866,22.6244397,行政區
ChIJq0SFsYMbbjQRWYSppE69vEc,香味洋食館,831台灣高雄市大寮區進學路46-3號,4.2,165,120.3940093,22.6063169,行政區
ChIJn-GKqZwbbjQRQWPcHuzjJ6s,北平聚富樓烤鴨 大寮店,831台灣高雄市大寮區鳳林三路562號,4.3,400,120.3953649,22.6077115,行政區
ChIJsYI7ufUFbjQRh9o4VMFJ0d8,Yummy呦咪日式手作三明治｜日式早午餐｜沙拉｜輕食,802台灣高雄市苓雅區和平一路131號,4.7,333,120.3209398,22.6223117,行政區
ChIJZ4qtVCMbbjQR-BNJLwkHJKU,和樂宴會館-鳳山店(附停車場),830台灣高雄市鳳山區建國路二段88號,4.2,5017,120.3618942,22.6357168,行政區
ChIJF_aKr8oEbjQRu-KqYKJ6ic0,琴姐廚房,830台灣高雄市鳳山區光復路二段247號,4.3,336,120.3432549,22.6293141,行政區
ChIJ-4IbyHUbbjQRF_bX9c242Zo,饌記牛肉麵,831台灣高雄市大寮區鳳林四路66號,4.1,1102,120.3877093,22.615203,行政區
ChIJ--Uil5tPXTQRsiE_JwCL1vE,隱家茶寮 基隆雨都篇,200台灣基隆市仁愛區愛二路54巷11號1樓,4.8,1032,121.7428018,25.1290913,基隆市 仁愛區
ChIJuXI_TuhPXTQRrUN2yYC0n4w,巷弄有一鍋,200台灣基隆市仁愛區愛三路49巷14號1樓,4.9,2542,121.7423454,25.1284291,基隆市 仁愛區
ChIJi6r1fN1PXTQRwESatVlrVCM,A6263吳姳麵館,200台灣基隆市仁愛區愛三路21號2樓,4.4,1208,121.741991,25.127639,基隆市 仁愛區
ChIJpznddgBPXTQRja4Iq7nWSvU,燈灣米飯會社｜基隆仁愛市場必買美食推薦｜基隆外帶中餐推薦｜基隆午餐必吃｜基隆吃飯推薦,200台灣基隆市仁愛區愛三路21號2樓,4.9,54,121.7418806,25.1276344,基隆市 仁愛區
ChIJF5VZtRZOXTQRDs7o6mEfJBI,基隆「阿不拉海鮮」,200台灣基隆市仁愛區華一街18號,4.7,1000,121.7365903,25.1274584,基隆市 仁愛區
ChIJkfec3RVOXTQRa4M_rEO4Qfs,鈺刺身丼,200台灣基隆市仁愛區愛一路8號2F(D43,4.4,1053,121.7408635,25.1281725,基隆市 仁愛區
ChIJ4YWToEdMXTQRX1z1PF6ONVg,喬義思窯烤手作廚房,200台灣基隆市仁愛區仁二路236號,4.1,1784,121.7436269,25.1303744,基隆市 仁愛區
ChIJl3b24xFPXTQRDPeQG2C8VrE,邦彼諾 Bambino,200台灣基隆市仁愛區港西街4號,4.3,1398,121.7401618,25.1326966,基隆市 仁愛區
ChIJN6MwzS9PXTQRbyWRppr_oBI,御品鮮 中式套餐/各類鍋物/咖啡/飲料,"2樓, No. 63號仁三路仁愛區基隆市台灣 200",4.9,279,121.7417599,25.1291115,基隆市 仁愛區
ChIJXy_0bwdPXTQR0_cqlJNF5MI,Mr.uncle-大叔先生(公休和最新菜單請看FB或IG),200台灣基隆市仁愛區愛六路16號,4.8,504,121.7475308,25.1279138,基隆市 仁愛區
ChIJN8k0g55PXTQRT4Vce8V0T74,佬食所laoshihsuo（公休日請看臉書）,200台灣基隆市仁愛區南榮路27號2樓,4.8,329,121.7424271,25.1268653,基隆市 仁愛區
ChIJR5Kr77JPXTQRwtAxi8A_nOQ,泰炒 （泰式熱炒料理餐廳）,200台灣基隆市仁愛區仁二路211號2樓,4.8,962,121.7443445,25.1288544,基隆市 仁愛區
ChIJ4Vk_vu1PXTQRK6p3haBR098,峰鮨,200台灣基隆市仁愛區愛三路21號攤位B42,4.2,1453,121.7418027,25.1276616,基隆市 仁愛區
ChIJNZXVhRVOXTQR3PQ6Mw4YFf8,海勒牛排館 義大利麵 焗烤 燉飯 基隆牛排館,200台灣基隆市仁愛區愛一路36號1F,4.6,936,121.7419732,25.1295453,基隆市 仁愛區
ChIJm6RuHz5OXTQRuG0UPKyQo2U,大嘴巴茶坊 - 基隆廟口,200台灣基隆市仁愛區愛三路57號3樓,4.7,1945,121.7426067,25.1285903,基隆市 仁愛區
ChIJkTlkTz5OXTQR0yQzF7HACVM,定食8-基隆店 日式定食 海鮮丼專門 基隆美食 平價料理 爭鮮餐飲集團,200台灣基隆市仁愛區愛三路128號2F,4.4,1795,121.743797,25.1298746,基隆市 仁愛區
ChIJF3yRiBVOXTQRBGle2hncpp4,胡弄咖啡簡餐,200台灣基隆市仁愛區愛二路45號2樓,4.2,697,121.7420148,25.1291851,基隆市 仁愛區
ChIJvSesOmVPXTQRVDOFC8jheNo,那間居酒屋 Najian Izakaya,20044台灣基隆市仁愛區精一路9-5號,4.9,1560,121.7416341,25.1266953,基隆市 仁愛區
ChIJZxvomkBOXTQRVkKyB7_dZ5U,HND好日子美式海鮮餐廳,202台灣基隆市中正區義二路81號2樓,4.8,1494,121.7459956,25.1323048,基隆市 仁愛區
ChIJMfL80g5PXTQRy4KFB3Pr3k8,虎閣燒肉亭韓式吃到飽,200台灣基隆市仁愛區仁二路257號2.3.4樓,4.7,1441,121.7423502,25.129829,基隆市 仁愛區
ChIJWWEDB6pPXTQRPrIWiBUpMhM,Moose Get Lost 迷鹿了嗎？（我們在明德大樓二樓這～）,200台灣基隆市仁愛區愛一路50-1號,4.4,527,121.7416286,25.1301245,基隆市 仁愛區
ChIJP_Vuyz5OXTQRpPS5UE449cU,樂食意大利餐廳,200台灣基隆市仁愛區仁二路98號,4.1,513,121.7478583,25.1276584,基隆市 仁愛區
ChIJ8Qse_G1PXTQRoTWDOC-EgnI,多田酸菜魚&重慶烤魚.小龍蝦.泰國蝦料理,20047台灣基隆市仁愛區愛三路49巷38號,4.8,1682,121.7418528,25.1283349,基隆市 仁愛區
ChIJjQpgpRZOXTQRuMgnJdFOMHc,榮生魚片,200台灣基隆市仁愛區成功一路118巷3弄2號,4.2,4908,121.7373202,25.1278371,基隆市 仁愛區
ChIJY-X_jiFPXTQRWlENPlzoW1Q,晟壽司,200台灣基隆市仁愛區愛三路21號二樓A30A31,4.5,792,121.7417678,25.1277599,基隆市 仁愛區
ChIJDY5OaDxPXTQRqzJmwpaetcE,莫初餐廳,20047台灣基隆市仁愛區愛三路87號2 樓,4.1,213,121.7432063,25.1294258,基隆市 仁愛區
ChIJN_qB-xVOXTQR3yZUPMvHD5k,朱添鮮魚號,200台灣基隆市仁愛區仁四路45號,3.4,3762,121.741214,25.1280449,基隆市 仁愛區
ChIJKybdGT5OXTQRKjrGMZ9BeFk,天一香肉焿順,200台灣基隆市仁愛區仁三路27-1號,4.3,2410,121.7431986,25.1282865,基隆市 仁愛區
ChIJzaZ77bNPXTQRgRnoT_9ZOQ0,漁闆娘,200001台灣基隆市仁愛區牛仔街123.124號攤販區,4.8,313,121.7398344,25.1276769,基隆市 仁愛區
ChIJFedSHTJPXTQRM0oIwXrjDyw,燒鶴一番町 基隆廟口店,200台灣基隆市仁愛區愛五路4之1號1、2樓,4.8,1613,121.745048,25.1277385,基隆市 仁愛區
ChIJVSHUeBZOXTQRMME2nrYbQmw,紅廚私房菜,20041台灣基隆市仁爱区孝一路61號2，3樓,4.2,361,121.74127,25.130222,基隆市 仁愛區
ChIJEY7xzxVOXTQRW0q6MxNhjTs,擇食居酒屋,200台灣基隆市仁愛區孝一路23巷1弄2號,4.2,1749,121.7401531,25.1285653,基隆市 仁愛區
ChIJT5yd_hVOXTQROxoF2gj9ex0,王鼎牛排D62,200台灣基隆市仁愛區愛三路21號仁愛 市場號,4.3,582,121.740743,25.12795,基隆市 仁愛區
ChIJc_uQ8hVOXTQRpId0LKCs2wk,滿滿燒肉,200台灣基隆市仁愛區愛二路23號,4.7,1969,121.7416667,25.1286111,基隆市 仁愛區
ChIJOZyd_hVOXTQRK2Rua1DMyS0,仁愛市場,200台灣基隆市仁愛區愛三路21號,4.1,12547,121.741071,25.128054,基隆市 仁愛區
ChIJRwW3oQBPXTQRMY0y3I7Hdlc,熊一頂級燒肉-基隆東岸店(海景景觀店),200台灣基隆市仁愛區仁二路236號東岸商場 E-Square3樓,4.8,6962,121.7434046,25.13047,基隆市 仁愛區
ChIJV6W3nhVOXTQRAoo7Of2atFQ,華星牛排館,200台灣基隆市仁愛區孝一路54號,4.5,1443,121.7412303,25.1299749,基隆市 仁愛區
ChIJAQAAAEVMXTQR2wxSHrqnemc,呷尚鱻餐廳,204台灣基隆市安樂區基金三路67-1號,4.6,3574,121.6970815,25.1528889,基隆市 仁愛區
ChIJa96c_CJPXTQRDpy56hP6Cf0,暖暮甜廚(預約制一人作業餐酒館 不定期公休),200台灣基隆市仁愛區港西街17號2樓,4.7,196,121.740161,25.1333003,基隆市 仁愛區
ChIJjWlABnpOXTQRnBzpOSXE0qw,愚夫私廚 無菜單 西餐,203台灣基隆市中山區復興路240-1號,4.6,290,121.7257721,25.1471709,基隆市 仁愛區
ChIJzS8bSsKrQjQRX_w16AU7wEo,基隆仁愛市場～泰好吃,200台灣基隆市仁愛區愛三路21號A32二樓,4.1,160,121.7407056,25.1279722,基隆市 仁愛區
ChIJx08e0YhPXTQRQUWx30c2Vi4,多吃一點,200台灣基隆市仁愛區愛二路27號,4.3,574,121.7418141,25.1288141,基隆市 仁愛區
ChIJ0bKh4YdPXTQRn0TlU1f4A3w,基隆天香私房菜,202台灣基隆市中正區義一路164號,4.4,246,121.7476687,25.1357645,基隆市 仁愛區
ChIJcb3qfz9OXTQRGwbqna1-JcQ,輕鬆宴海鮮景觀餐廳,200台灣基隆市仁愛區愛一路35號2樓,4.1,416,121.7418425,25.1295601,基隆市 仁愛區
ChIJcRqYeTtPXTQR86TiYmeMdfE,ABV Bar & Kitchen 閣樓餐酒館 基隆美食 美式烤肉 煙燻牛排 美式烤肉 秀泰影城6樓 精釀啤酒 聚餐 約會 宵夜 美食,202台灣基隆市中正區信一路177號6樓,4.8,2498,121.744792,25.1309333,基隆市 仁愛區
ChIJIyMShhVOXTQRdTy0kIlfCM0,橘之堡,200台灣基隆市仁愛區愛二路43號2F,3.9,862,121.74202,25.1291615,基隆市 仁愛區
ChIJp7mnjUBOXTQRTi-lwcKFWvY,小峨嵋川菜館,202台灣基隆市中正區義一路58號,4.1,2523,121.745872,25.1330278,基隆市 仁愛區
ChIJoyqgNThOXTQRhJl8H1SXhK4,活力站蒟蒻屋,200台灣基隆市仁愛區仁一路133號,4.3,5643,121.7524337,25.1277747,基隆市 仁愛區
ChIJ9Vh9WxROXTQRzll58aA-ULg,三姐妹餐飲店,200台灣基隆市仁愛區孝四路7號,4.1,2444,121.7384342,25.1304166,基隆市 仁愛區
ChIJu16rBT5OXTQRIc3HnTxoOcw,阿華炒麵,200台灣基隆市仁愛區愛四路1-3號,4,4533,121.7432066,25.1279239,基隆市 仁愛區
ChIJiYSaZQpPXTQRVDq17ZEvzco,café clay 就日,200台灣基隆市仁愛區孝二路93巷1號3樓,4.9,154,121.7403682,25.1303883,基隆市 仁愛區
ChIJC8vb-DdOXTQReiRa3vLcrjY,苗圃義大利餐廳,201台灣基隆市信義區信二路172號,4.1,1615,121.7539118,25.1293958,基隆市 仁愛區
ChIJP1-AGNZPXTQRrwxOWqgRH2s,NONNONSAID CAFE 儂儂說。早午餐/咖啡/甜點/鬆餅/彌月禮盒,200台灣基隆市仁愛區南榮路163號,4.9,1270,121.7429895,25.1242366,基隆市 仁愛區
ChIJRfXPKxROXTQRVIvS_Kd89-c,天天鮮排骨飯,200台灣基隆市仁愛區孝三路42巷4號,3.9,4820,121.7393137,25.1298197,基隆市 仁愛區
ChIJjbSesZFPXTQRUCwTq66EOgY,漁人手作壽司,200台灣基隆市仁愛區愛一路8號攤位2樓C11,4.1,647,121.7408635,25.1281725,基隆市 仁愛區
ChIJtQmKdxVOXTQRpOiRBdGQ3QA,鳥巢咖啡,200台灣基隆市仁愛區孝一路66號2F,4.1,672,121.7416128,25.1302945,基隆市 仁愛區
ChIJgVoOw4xPXTQR4we7oI8ZroA,基隆仁愛市場-兩全天婦羅,200台灣基隆市仁愛區花台4號（仁愛市場轉角樓梯旁,4,360,121.7414843,25.1279713,基隆市 仁愛區
ChIJczEQFT5OXTQRtFZzyAk44SI,月見拉麵,20048台灣基隆市仁愛區仁三路40號2樓,4.7,1081,121.743607,25.128254,基隆市 仁愛區
ChIJM6NdoYhPXTQROYr0YezgmR0,珠媽媽海鮮粥,200台灣基隆市仁愛區孝三路28號,4.9,55,121.7391309,25.1295765,基隆市 仁愛區
ChIJdxfU8vVPXTQRnlRqutoMQEk,阿財三鮮水餃,200台灣基隆市仁愛區成功一路134巷13號1樓,4.7,67,121.7373352,25.1285876,基隆市 仁愛區
ChIJT8ABmRJPXTQR7pSdOEJBK_g,1632 Cafe & Diner,201台灣基隆市信義區義六路32號,4.8,592,121.7513587,25.1308811,基隆市 信義區
ChIJEQC3OCpPXTQRUA-tYdPVETk,小腳落 Little corner（公休請參考FB或IG）,201台灣基隆市信義區信一路141巷15號1樓,4.7,472,121.7474195,25.1298312,基隆市 信義區
ChIJ6eKEjnpPXTQRW0_ujWimJXs,無爭 • 手作料理,201台灣基隆市信義區義三路4巷14號,4.8,156,121.7469217,25.1298273,基隆市 信義區
ChIJ088vG3ZPXTQRJhv3sowwYGA,銘 燒肉,201台灣基隆市信義區深溪路152號,4.9,364,121.7826714,25.1341497,基隆市 信義區
ChIJYd7ELWNPXTQR-wMcmePIIq0,泰舍泰式料理-基隆店,202台灣基隆市中正區信二路290-1號,4.9,4618,121.7457991,25.1314343,基隆市 信義區
ChIJxTQbfxVPXTQRn-tbTVc87U4,SundayUncle星期日叔叔,201台灣基隆市信義區深溪路119號,4.8,256,121.7824626,25.1341702,基隆市 信義區
ChIJZ88pRwBPXTQRj-lLuXZ2cb4,私嶼 private island,"1樓, No. 4弄17號新豐街251巷中正區基隆市台灣 202",4.9,144,121.7886991,25.1361142,基隆市 信義區
ChIJtW0UijhOXTQRuJb6U4WR5KU,基隆港海產樓,201台灣基隆市信義區信二路181號,4.1,4391,121.7507782,25.1295617,基隆市 信義區
ChIJAb75Co1PXTQRe5dsjpLFR-A,群賢閣蔬食餐廳-基隆信義素食餐廳|蔬食料理|健康蔬食|特色蔬食|人氣餐廳|在地推薦餐廳,201台灣基隆市信義區壽山路21號,4.8,376,121.7517553,25.1337482,基隆市 信義區
ChIJu6BIQhtPXTQREeCR0I3TKq8,鍋之日手作鍋物/壽喜燒（深溪店）,201台灣基隆市信義區深溪路62號,4.9,3653,121.7824194,25.1325066,基隆市 信義區
ChIJ_zteOAlPXTQReMJ9RuEWG4s,沐廚料理所,201台灣基隆市信義區培德路2巷93號1樓,4.9,10,121.7695284,25.127329,基隆市 信義區
ChIJl2CisM5PXTQR_dwh4rryJWE,歡樂食光,201台灣基隆市信義區信二路25號,4.7,132,121.7568907,25.1289376,基隆市 信義區
ChIJOyyhHEFOXTQRfapreY3z9yI,陶板屋 基隆信一店,202台灣基隆市中正區信一路177號12F,4.7,5464,121.7448044,25.1309204,基隆市 信義區
ChIJTcyOOspPXTQRbIbs1hJbe2Y,賞鮨手作料理店,20141台灣基隆市信義區東明路2號1樓,4.6,463,121.7632932,25.1279532,基隆市 信義區
ChIJ2WRSJwBPXTQR54fgb4p6iIg,饗泰多 SIAM MORE 泰式風格餐廳 基隆店,202台灣基隆市中正區中正路3號2樓,4.8,747,121.7445699,25.1336736,基隆市 信義區
ChIJ2zwvcUZPXTQRivkMPLGswWE,RAIN DANCE 雨舞餐廳,202台灣基隆市中正區北寧路446巷51號,4.6,708,121.7989727,25.1388437,基隆市 信義區
ChIJEzvZsLVPXTQRRFAfoAzEVUA,海上鮮,201台灣基隆市信義區培德路9號,4.1,1764,121.7689022,25.1283587,基隆市 信義區
ChIJz8_rGbyrQjQRD1-qfRm5C1M,JK STUDIO 法式餐酒館 (台北信義店),110台灣台北市信義區基隆路一段147巷5弄13號,4.7,1965,121.5662123,25.0428905,基隆市 信義區
ChIJTfWPoWNNXTQRNQVNd0qUveg,逸番亭,204台灣基隆市安樂區基金一路108之19號1樓,4.8,328,121.7157118,25.1400008,基隆市 信義區
ChIJVaSC8ThOXTQRVWQGD3jbiaw,加盛日本料理,201台灣基隆市信義區信一路96巷5號201,4.6,208,121.7504376,25.1290924,基隆市 信義區
ChIJuQjoBwBPXTQRx-mM7tWkCGw,開飯川食堂,202004台灣基隆市中正區中正路3號2樓,4.7,522,121.7448147,25.134015,基隆市 信義區
ChIJDXgQDaVPXTQRajJJC0YkFZM,小米菇餐坊,201台灣基隆市信義區深美街173號,4,717,121.7779943,25.13677,基隆市 信義區
ChIJnZp76uFPXTQR-wDCU0hnnt0,檀島香港餐廳 基隆店,202台灣基隆市中正區中正路3號2樓,4.1,591,121.7451668,25.1343195,基隆市 信義區
ChIJs-Z5wtlPXTQRzLKrLgJFvMU,嶼我 Me & Island,202台灣基隆市中正區正濱路25號,4.6,393,121.7700331,25.1522914,基隆市 信義區
ChIJv8lCDzZOXTQRl4s7fffVUNg,金牌三姊妹活海產餐廳,201台灣基隆市信義區東明路134號,3.8,2189,121.759747,25.1279325,基隆市 信義區
ChIJechyXk6rQjQRvcivE2lYj6A,波 WAVE 鷹嘴豆泥屋 Hummus House,110台灣台北市信義區基隆路二段39巷8弄4號1樓,4.6,1019,121.5587879,25.0310511,基隆市 信義區
ChIJO56v-IVOXTQRHfy66sEkr_g,聖托里尼海景餐廳,203台灣基隆市中山區湖海路一段18號,4,2309,121.7252782,25.1639674,基隆市 信義區
